Molecule Name,AD_index_LogP,Conf_index_LogP,LogP_pred,AD_LogP,MP_pred,AD_MP,AD_index_MP,Conf_index_MP,BP_pred,AD_BP,AD_index_BP,Conf_index_BP,VP_pred,AD_VP,AD_index_VP,Conf_index_VP,WS_pred,AD_WS,AD_index_WS,Conf_index_WS,HL_pred,AD_HL,AD_index_HL,Conf_index_HL,RT_pred,AD_RT,AD_index_RT,Conf_index_RT,KOA_pred,AD_KOA,AD_index_KOA,Conf_index_KOA,ionization,AD_pKa,AD_index_pKa,Conf_index_pKa,pKa_a_pred,pKa_b_pred,AOH_pred,AD_AOH,AD_index_AOH,Conf_index_AOH,BCF_pred,AD_BCF,AD_index_BCF,Conf_index_BCF,BioDeg_pred,AD_BioDeg,AD_index_BioDeg,Conf_index_BioDeg,ReadyBiodeg_pred,AD_ReadyBiodeg,Conf_index_ReadyBiodeg,KM_pred,AD_KM,AD_index_KM,Conf_index_KM,LogKoc_pred,AD_LogKoc,AD_index_LogKoc,Conf_index_LogKoc,AD_CERAPP_Ago,AD_CERAPP_Anta,AD_CERAPP_BinD,CERAPP_Ago_pred,AD_index_CERAPP_Ago,Conf_index_CERAPP_Ago,CERAPP_Anta_pred,AD_index_CERAPP_Anta,Conf_index_CERAPP_Anta,CERAPP_Bind_pred,AD_index_CERAPP_Bind,Conf_index_CERAPP_Bind,CoMPARA_Ago_pred,AD_CoMPARA_Ago,AD_index_CoMPARA_Ago,Conf_index_CoMPARA_Ago,CoMPARA_Anta_pred,AD_CoMPARA_Anta,AD_index_CoMPARA_Anta,Conf_index_CoMPARA_Anta,CoMPARA_Bind_pred,AD_CoMPARA_BinD,AD_index_CoMPARA_Bind,Conf_index_CoMPARA_Bind,CATMoS_VT_pred,AD_VT,AD_index_VT,Conf_index_VT,CATMoS_NT_pred,AD_NT,AD_index_NT,Conf_index_NT,CATMoS_EPA_pred,AD_EPA,AD_index_EPA,Conf_index_EPA,CATMoS_GHS_pred,AD_GHS,AD_index_GHS,Conf_index_GHS,CATMoS_LD50_pred,AD_LD50,AD_index_LD50,Conf_index_LD50,AD_index_ReadyBiodeg,LogD55_pred,LogD74_pred,AD_LogD,AD_index_LogD,Conf_index_LogD
50-39-5,0.716694,0.666335,-0.52959,1,142.158444,1,0.89737,0.785353,336.729609,0,0.189146,0.453328,-7.410047,1,0.398277,0.388693,-0.026814,1,0.629552,0.586353,-7.926069,1,0.198354,0.276665,5.938492,1,0.430454,0.531136,10.914447,0,0.697891,0.525065,1,1,0.287216,0.598161,NaN,3.282312,-11.030463,0,0.212283,0.524274,0.177594,1,0.323473,0.541363,0.632853,0,0.190828,0.473907,0,1,0.49019,-0.222472,1,0.244001,0.513211,1.647936,1,0.323284,0.531179,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.944444,0,1,0.953536,0.940959,0,1,1,0.966667,0,1,0.979614,0.944235,1,1,0.984664,0.860403,3,1,0.972399,0.70803,4,1,0.987582,0.798763,2.885169,1,0.94952,0.906274,0.416871,-0.532213,-0.529623,1,0.501955,0.632248
50-42-0,0.584415,0.684278,3.334894,1,111.434035,1,0.895497,0.684099,348.649292,1,0.361121,0.53513,-5.870215,1,0.511773,0.533392,-4.247121,1,0.494192,0.435258,-7.428492,1,0.434519,0.496157,24.330958,1,0.473844,0.491115,9.819803,1,0.966716,0.73392,1,1,0.83443,0.871667,NaN,7.859004,-10.704552,0,0.198112,0.492706,2.243351,1,0.427685,0.5365,0.526644,0,0.311849,0.615267,0,1,0.51011,-0.357012,1,0.410895,0.521434,3.175937,1,0.452186,0.549781,1,1,1,0,1,1,0,1,1,0,1,0.736842,0,1,1,0.947368,0,1,1,0.578947,0,1,1,0.821429,0,1,1,1,0,1,1,0.921538,3,1,0.948566,0.768341,4,1,1,0.75,2.849242,1,1,0.787138,0.456712,0.973994,2.74635,1,0.709423,0.777972
50-43-1,0.604253,0.63525,3.083314,1,157.355266,1,0.947811,0.840878,300.572554,1,0.558447,0.695245,-3.897705,1,0.734166,0.589529,-1.969289,1,0.833955,0.700708,-8.546788,1,0.314738,0.427725,6.580762,1,0.497124,0.535035,8.685125,1,0.759538,0.567048,1,1,0.744779,0.820142,2.378227,NaN,-11.710309,1,0.318278,0.562692,0.521896,1,0.813209,0.831402,0.536548,0,0.340819,0.62431,0,1,0.755392,-0.3173,1,0.554012,0.630724,2.529823,1,0.616284,0.632449,1,1,1,0,1,1,0,1,1,0,1,0.944444,0,1,1,1,0,1,1,0.85,0,1,1,0.96875,0,1,0.95376,0.943376,0,1,1,0.857143,3,1,1,0.869565,4,1,0.985284,0.728287,3.022139,1,1,0.909091,0.510784,-0.038787,-1.938463,1,0.674516,0.727696
50-45-3,0.795185,0.713865,2.892473,1,165.589366,1,0.942943,0.865053,291.530668,1,0.724495,0.712095,-3.626143,1,0.878384,0.78636,-2.545716,1,0.861903,0.702784,-8.301917,1,0.453406,0.452314,5.98195,1,0.476414,0.527466,7.753389,1,0.719442,0.532774,1,1,0.914579,0.901054,2.779464,NaN,-11.514579,1,0.327586,0.586807,0.37788,1,0.819164,0.791901,0.551761,0,0.346071,0.641204,0,1,0.866735,-0.754605,1,0.595817,0.643457,1.774469,1,0.676504,0.614268,1,1,1,0,1,1,0,1,1,0,1,0.947368,0,1,1,1,0,1,1,0.904762,0,1,1,0.969697,0,1,1,1,0,1,1,0.9,3,1,1,0.625003,4,1,1,0.619048,2.927877,1,1,0.770833,0.733469,0.171112,-1.728073,1,0.854882,0.80746
50-48-6,0.871097,0.78393,4.856604,1,162.328971,1,0.882867,0.596,350.918539,1,0.395382,0.549895,-7.10669,1,0.415252,0.478567,-4.803886,1,0.860834,0.592643,-7.726699,1,0.366309,0.471218,22.815794,1,0.44121,0.49128,9.600138,1,0.980203,0.743591,1,1,0.841539,0.875322,NaN,9.913332,-10.518594,0,0.232086,0.530371,3.028814,1,0.429356,0.538547,0.668436,1,0.369655,0.624214,0,1,0.583947,0.211252,1,0.320471,0.564121,3.587432,1,0.406522,0.518946,1,1,1,0,1,0.7,0,0.970637,0.884959,1,1,0.631579,0,1,1,0.947368,1,1,1,0.722222,1,1,1,0.571429,0,1,1,0.96663,0,1,1,0.931034,2,1,1,0.859783,4,1,1,0.59127,2.623286,1,1,0.918333,0.476911,0.443255,2.341942,1,0.856318,0.829626
50-49-7,0.865159,0.755393,4.737232,1,135.478742,1,0.907885,0.625874,347.190438,1,0.42029,0.491316,-6.105529,1,0.38638,0.470773,-4.185053,1,0.875158,0.801666,-5.764288,1,0.407119,0.447835,20.042521,1,0.500281,0.511942,9.781496,1,0.986697,0.842145,1,1,0.903442,0.60921,NaN,7.887982,-10.772645,0,0.224099,0.489235,2.495561,1,0.414722,0.501529,0.560892,0,0.296231,0.587844,0,1,0.737682,0.452417,1,0.334994,0.485367,2.899724,0,0.30128,0.416959,1,1,1,0,1,1,0,1,1,0,1,0.764706,0,1,1,0.944444,1,1,1,0.764706,1,1,0.995214,0.662074,0,1,1,1,0,1,1,0.964103,2,1,1,0.818182,4,1,1,0.825,2.646517,1,1,0.959167,0.475364,2.347477,4.127002,1,0.884301,0.682301
50-50-0,0.522203,0.576494,6.30584,1,196.99534,1,0.857706,0.807358,416.370592,0,0.211013,0.336998,-8.845522,0,0.238299,0.339272,-7.278003,1,0.414854,0.439355,-7.681425,0,0.244962,0.292848,28.337559,1,0.470667,0.52421,10.353557,0,0.431837,0.403202,1,1,0.472259,0.690732,8.531092,NaN,-10.755155,0,0.128603,0.456556,2.770656,1,0.374956,0.463482,1.765606,0,0.179448,0.517011,0,1,0.732972,0.182505,0,0.206458,0.427594,4.646707,1,0.265187,0.376782,1,1,1,1,1,0.9,1,1,0.857143,1,1,1,1,1,1,0.85,1,1,1,0.947368,1,1,1,0.866667,0,1,0.949997,0.971641,1,1,0.971177,0.794389,3,1,0.926468,0.673295,5,1,0.954185,0.874628,2.866188,1,0.810081,0.700906,0.465944,6.305436,6.274858,1,0.497231,0.633613
50-52-2,0.860806,0.740996,5.833603,1,75.71267,1,0.856836,0.748206,364.951913,0,0.217652,0.43109,-7.600116,0,0.305614,0.442988,-4.88918,1,0.497168,0.584969,-6.040125,1,0.373236,0.417863,26.718389,1,0.525424,0.533269,11.714056,1,0.80764,0.717178,1,1,0.51194,0.710485,NaN,7.154559,-10.551561,0,0.166971,0.495171,2.701349,1,0.353622,0.459289,1.993793,0,0.22677,0.540946,0,1,0.710443,0.511981,1,0.24415,0.425068,3.090758,0,0.173348,0.352255,1,1,1,0,1,1,0,0.946885,0.89951,0,1,0.555556,0,1,1,0.666667,1,1,1,0.833333,1,1,1,0.703703,0,1,1,0.962963,0,1,1,0.92963,3,1,1,0.772727,4,1,1,0.947368,2.973184,1,1,0.918333,0.420885,4.169527,5.63818,1,0.686373,0.725741
50-55-5,0.347571,0.437268,4.045331,1,256.767751,1,0.855574,0.648682,459.98682,0,0.101828,0.344604,-9.791526,0,0.110939,0.205937,-3.991299,0,0.844797,0.706058,-7.897043,0,0.105804,0.208408,19.315321,1,0.472786,0.518482,10.568057,0,0.226721,0.308542,1,0,0.25517,0.371279,10.884265,NaN,-10.349527,0,0.067609,0.476382,0.916794,0,0.203869,0.365785,1.141916,0,0.108318,0.403905,0,1,0.644541,0.025133,0,0.082279,0.312846,4.949855,0,0.095466,0.29867,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0.997857,0.578619,1,1,1,1,1,1,1,0.928571,0,1,1,0.966667,0,1,1,0.785714,2,1,1,0.5,4,1,1,0.666667,2.705451,1,1,0.913043,0.289082,4.045329,4.045189,0,0.301371,0.404273
50-60-2,0.548787,0.580851,2.869451,1,164.45144,1,0.855041,0.618976,328.179879,0,0.208656,0.35371,-8.986734,1,0.410972,0.375255,-3.597864,1,0.457487,0.440006,-9.767062,1,0.250477,0.294004,14.697583,1,0.596642,0.576597,9.093096,0,0.332164,0.41014,1,1,0.459259,0.565038,7.60224,NaN,-10.621618,0,0.198996,0.512798,1.266556,1,0.518137,0.626443,0.524255,0,0.338963,0.628666,0,1,0.730773,-0.228644,1,0.30512,0.5207,2.795774,1,0.450958,0.537229,1,1,1,0,1,0.777778,0,1,0.714286,0,1,0.588235,0,1,1,1,1,1,1,0.705882,1,1,1,0.518519,0,1,1,0.966667,0,1,1,0.967742,3,1,1,0.75,4,1,1,0.904762,2.884296,1,1,0.88,0.461545,2.866033,2.657874,1,0.504023,0.572945
50-65-7,0.63024,0.552855,3.769035,1,224.961415,1,0.85081,0.66686,343.404324,0,0.185919,0.393587,-10.777156,1,0.854491,0.699571,-3.684858,1,0.855422,0.684,-8.306675,0,0.199359,0.269601,17.059683,1,0.592872,0.528957,9.334209,0,0.291548,0.382581,1,1,0.437369,0.572834,4.977158,NaN,-10.859734,0,0.236413,0.484383,2.137111,1,0.44954,0.657354,0.647501,0,0.203138,0.538592,0,1,0.716642,-0.175613,1,0.304767,0.519052,3.330929,1,0.86555,0.785704,1,1,1,0,1,1,1,0.936301,0.669623,0,1,0.789474,0,1,1,0.952381,1,1,1,0.636364,0,1,0.97506,0.921896,0,1,1,0.963624,0,1,1,0.54087,3,1,1,0.55,5,1,1,0.578947,3.098947,1,1,0.604978,0.433284,3.132241,1.344556,1,0.533804,0.562845
50-67-9,0.884944,0.749651,-0.10419,1,165.50171,1,0.853662,0.766746,347.248471,1,0.241953,0.418999,-4.098606,1,0.310338,0.405299,-1.058235,1,0.8576,0.703165,-7.57991,0,0.256961,0.339026,6.170582,1,0.677638,0.603064,8.328282,0,0.18863,0.330843,2,1,0.438228,0.411882,9.422624,9.697306,-10.835812,1,0.30102,0.540892,0.923421,1,0.528377,0.595801,0.603296,0,0.255141,0.559017,0,1,0.761842,-0.198158,0,0.187485,0.442166,2.117374,1,0.571971,0.603971,1,1,1,0,0.974138,0.928741,0,1,1,0,1,0.882353,0,1,1,0.947368,0,1,1,0.894737,0,1,1,0.896552,0,1,1,0.769231,0,1,1,0.923077,2,1,1,0.428571,4,1,0.97414,0.767053,2.565226,1,1,0.782609,0.523685,-4.164193,-2.26715,1,0.661586,0.580766
50-73-7,0.608396,0.634033,3.283854,1,158.384275,1,0.9601,0.842574,300.566405,1,0.55549,0.693429,-3.674099,1,0.887021,0.705515,-2.124242,1,0.816559,0.707563,-8.30918,1,0.429536,0.444211,8.322882,1,0.514768,0.55106,8.669162,1,0.755089,0.564299,1,1,0.749615,0.822471,1.957469,NaN,-11.848896,1,0.31377,0.565848,0.5188,1,0.783704,0.813368,0.49328,0,0.336963,0.627933,0,1,0.810671,-0.311475,1,0.557907,0.632445,2.26876,1,0.595728,0.651709,1,1,1,0,1,1,0,1,1,0,1,0.944444,0,1,1,1,0,1,1,0.9,0,1,1,1,0,1,0.967294,0.982033,0,1,0.9972,0.917745,3,1,0.996662,0.884957,4,1,0.983934,0.724416,2.997187,1,0.995913,0.951011,0.621341,-0.258802,-2.158679,1,0.679006,0.728252
50-74-8,0.557307,0.668034,3.387385,1,181.599479,1,0.893401,0.742862,311.566817,1,0.462513,0.622942,-3.669978,1,0.492231,0.520224,-2.276662,1,0.593201,0.562819,-8.533248,1,0.273286,0.407746,8.656206,1,0.538227,0.557957,9.119715,1,0.859993,0.620893,1,1,0.646594,0.772119,2.243413,NaN,-11.711311,1,0.308893,0.557833,0.505922,1,0.445467,0.619169,0.732887,0,0.32399,0.600263,0,1,0.732193,-0.058772,1,0.497059,0.620985,2.667581,1,0.570724,0.605223,1,1,1,0,1,1,0,1,1,0,1,0.944444,0,1,1,1,0,1,0.955353,0.902098,0,1,1,1,0,1,0.954736,0.896203,0,1,0.981724,0.903007,3,1,0.997052,0.826475,4,1,0.95913,0.707957,2.967948,1,0.807937,0.937455,0.464386,0.130557,-1.769205,1,0.601951,0.720077
50-78-2,0.913975,0.836815,1.300799,1,126.183424,1,0.942082,0.731688,282.673155,1,0.554918,0.60775,-4.768089,1,0.864302,0.672332,-1.779021,1,0.880068,0.727552,-8.08264,1,0.209766,0.38807,0.915893,1,0.498669,0.575583,7.752837,1,0.719579,0.532813,1,1,0.563067,0.667566,4.197193,NaN,-11.247979,1,0.285152,0.526352,0.56326,1,0.506825,0.648798,0.548531,0,0.346939,0.639106,1,1,0.832034,-0.943845,1,0.536437,0.723684,1.897275,1,0.618556,0.66444,1,1,1,0,1,0.909091,0,1,0.875,0,1,0.8,0,1,0.978613,0.988957,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.766667,3,1,1,0.916667,4,1,1,0.619048,3.214333,1,0.922621,0.886863,0.664068,-0.023113,-1.90228,1,0.738521,0.752191
50-79-3,0.913108,0.822774,2.818521,1,161.335118,1,0.951266,0.863594,297.601401,1,0.869399,0.798021,-3.704701,1,0.686432,0.635402,-2.54358,1,0.861568,0.702638,-8.347624,1,0.473335,0.453476,4.619098,1,0.579626,0.608214,7.778368,1,0.714723,0.531567,1,1,0.914992,0.90123,3.190521,NaN,-11.514591,1,0.327619,0.586822,0.366082,1,0.834602,0.798947,0.551761,0,0.346064,0.641201,0,1,0.886911,-0.756556,1,0.593747,0.642657,1.848671,1,0.668942,0.612751,1,1,1,0,1,0.9,0,1,1,0,1,0.944444,0,1,1,1,0,1,1,0.857143,0,1,1,0.969697,0,1,0.974597,0.958925,0,1,1,0.965517,3,1,1,0.916667,4,1,1,0.714286,2.927877,1,1,0.770833,0.773822,0.506918,-1.390985,1,0.91405,0.862002
50-82-8,0.608004,0.633948,3.285513,1,159.780697,1,0.954719,0.847411,300.54366,1,0.557031,0.694206,-3.933716,1,0.727959,0.585411,-2.221325,1,0.904389,0.763456,-8.544167,1,0.308472,0.424636,7.093842,1,0.516442,0.542098,8.669162,1,0.755089,0.564299,1,1,0.75631,0.825696,2.702149,NaN,-11.846531,1,0.316425,0.567285,0.523409,1,0.828097,0.840494,0.493537,0,0.332135,0.62556,0,1,0.841485,-0.311278,1,0.560601,0.634103,2.526355,1,0.617645,0.633272,1,1,1,0,1,1,0,1,1,0,1,0.944444,0,1,1,1,0,1,1,0.9,0,1,0.976807,0.985578,0,1,0.964135,0.909809,0,1,0.997219,0.87699,3,1,0.996728,0.859957,4,1,0.973511,0.697218,3.019286,1,0.995925,0.923159,0.682971,0.48697,-1.412347,1,0.682157,0.729822
50-84-0,0.863433,0.758799,2.857821,1,166.578777,1,0.961398,0.867178,293.898239,1,0.736976,0.719858,-3.707933,1,0.669595,0.622675,-2.475704,1,0.914969,0.744449,-8.689555,1,0.326666,0.429548,3.622969,1,0.529698,0.589479,7.769808,1,0.716065,0.531879,1,1,0.944804,0.914589,2.884405,NaN,-11.514315,1,0.327585,0.586797,0.358504,1,0.848088,0.806101,0.551772,0,0.34039,0.638373,0,1,0.885637,-0.756766,1,0.597456,0.64449,1.938968,1,0.643965,0.604319,1,1,1,0,1,1,0,1,1,0,1,0.944444,0,1,1,1,0,1,1,0.85,0,1,1,0.939394,0,1,0.964403,0.986386,0,1,1,0.9,3,1,1,0.958333,4,1,1,0.809524,2.989403,1,1,0.958333,0.771275,0.241175,-1.657787,1,0.904119,0.836694
50-85-1,0.948777,0.738215,2.68538,1,167.922943,1,0.950112,0.863222,261.499129,1,0.342814,0.411688,-4.960108,1,0.576666,0.474737,-1.736651,1,0.596173,0.547794,-7.360929,1,0.30329,0.491907,1.130126,1,0.503136,0.575396,7.780402,0,0.796608,0.678352,1,1,0.990743,0.818283,3.953066,NaN,-11.067859,1,0.306762,0.56193,0.604381,1,0.4727,0.63772,0.492741,0,0.286807,0.601371,1,1,0.636182,-0.940366,1,0.401014,0.523553,1.737402,1,0.752339,0.773233,1,1,1,0,0.979453,0.795036,0,1,0.749955,0,0.989854,0.833008,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.769231,3,1,1,0.772727,4,1,0.958381,0.691558,3.101225,1,1,0.916667,0.581381,1.126291,-0.761709,1,0.96976,0.778249
50-89-5,0.877702,0.822893,-1.027908,1,182.010719,1,0.89352,0.785579,271.066787,0,0.146971,0.432276,-8.65189,1,0.285085,0.295476,-1.204844,1,0.461083,0.495559,-10.100757,0,0.098016,0.203256,2.261045,1,0.424713,0.529755,9.230519,0,0.182948,0.331681,1,1,0.69914,0.804139,8.43192,NaN,-10.569622,0,0.182184,0.522622,0.15732,1,0.351796,0.550322,0.524749,0,0.263932,0.591182,0,1,0.550875,-0.618925,0,0.230974,0.444702,1.692105,1,0.344148,0.559896,1,1,1,0,1,1,0,1,1,0,1,0.944444,0,1,1,1,0,1,1,1,0,1,0.987468,0.974565,0,1,0.964221,0.947812,1,1,1,0.862069,3,1,0.981262,0.449943,5,1,1,0.8,3.332749,1,0.926023,0.719773,0.410767,-1.028416,-1.066494,1,0.788421,0.813516
50-91-9,0.87797,0.854569,-1.105272,1,163.868201,1,0.883005,0.703648,281.177714,0,0.145043,0.396757,-8.635975,1,0.28059,0.294439,-0.903796,1,0.449835,0.509333,-10.119188,0,0.098112,0.203132,2.068601,1,0.420042,0.496831,9.216512,0,0.184452,0.33286,1,1,0.405892,0.657511,7.304221,NaN,-10.941082,0,0.175637,0.504053,0.178691,1,0.352151,0.552333,0.524701,0,0.266382,0.592403,0,1,0.492254,-0.620691,0,0.221902,0.440594,1.774005,1,0.348269,0.544341,1,1,1,0,1,1,0,1,1,0,1,0.944444,0,1,0.979396,0.932544,0,1,1,1,0,1,1,0.967742,0,1,1,0.966667,1,1,1,0.793103,3,1,1,0.681818,4,1,1,0.2,3.213328,1,1,0.68,0.371934,-1.112035,-1.456826,1,0.641931,0.75604
50-99-7,0.870639,0.69974,-3.035111,1,137.774577,1,0.886932,0.799071,314.207513,0,0.142736,0.359958,-12.721072,0,0.846528,0.517952,0.499561,1,0.859693,0.696444,-8.775284,0,0.097735,0.214806,-3.377582,1,0.316712,0.449388,8.205188,0,0.088252,0.234268,1,1,0.328884,0.618958,6.424653,NaN,-10.478171,1,0.388318,0.567897,0.083172,0,0.273689,0.506479,0.552052,0,0.329212,0.632851,1,1,0.530917,-1.090998,0,0.135526,0.41316,2.160691,1,0.318464,0.374538,1,1,1,0,1,1,0,1,1,0,1,0.888889,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0.928571,4,1,1,0.782609,5,1,1,0.904762,3.777348,1,1,0.636364,0.44926,-3.083919,-4.05415,1,0.599762,0.659349
51-05-8,0.878178,0.73579,1.983484,1,71.579392,1,0.85978,0.646744,306.934522,1,0.311853,0.452108,-4.740969,1,0.415787,0.467558,-1.382992,1,0.878264,0.737639,-8.958172,0,0.175729,0.251467,9.219542,1,0.562221,0.550163,9.49283,0,0.836022,0.617903,1,1,0.505411,0.48079,NaN,7.661691,-10.772042,0,0.253413,0.520147,0.580445,1,0.465933,0.562169,0.525583,0,0.300833,0.609685,0,1,0.516814,-0.187978,1,0.401715,0.550533,2.429525,1,0.427895,0.588648,1,1,1,0,1,0.9,0,1,0.857143,0,1,0.944444,0,1,0.992223,0.970621,0,1,1,0.952381,0,1,0.99198,0.924803,0,1,1,1,0,1,1,0.607143,3,1,1,0.865613,4,1,1,0.55,3.145465,1,1,0.64,0.47012,-0.18119,1.532189,1,0.691795,0.60829
51-12-7,0.864386,0.677738,1.086115,1,155.894394,1,0.854506,0.685625,303.834552,0,0.128135,0.465157,-9.63525,1,0.324837,0.429101,-4.036066,1,0.47205,0.489508,-9.3804,0,0.147977,0.240242,10.652731,1,0.487183,0.490174,9.270749,0,0.178365,0.328183,2,1,0.399667,0.34805,7.606887,6.462067,-10.976489,0,0.129167,0.481551,0.74574,1,0.356922,0.46075,0.52407,0,0.312349,0.615342,1,1,0.56154,-0.56694,0,0.237293,0.437048,2.992886,1,0.356164,0.474002,1,1,1,0,1,1,0,1,1,0,1,0.894737,0,1,1,1,0,1,1,0.944444,0,1,1,1,0,1,1,0.966667,0,1,1,0.827586,3,1,1,0.909091,4,1,1,0.857143,3.107505,1,1,0.92,0.510505,-0.460866,0.564953,1,0.632027,0.512894
51-17-2,0.885442,0.828145,1.343054,1,155.261797,1,0.906517,0.713027,300.053379,1,0.593689,0.648592,-3.611546,1,0.541616,0.46264,-1.741605,1,0.87545,0.819717,-6.91593,1,0.6325,0.667601,4.039492,1,0.467588,0.511014,7.714258,1,0.755191,0.544765,2,1,0.980191,0.605387,12.702425,5.409676,-10.333594,1,0.676217,0.657413,0.679767,1,0.570274,0.628059,0.704432,1,0.581777,0.702516,1,1,0.604549,-0.797225,1,0.291641,0.568385,1.744355,1,0.563179,0.673928,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0.984781,0.953833,0,1,1,0.933333,2,1,0.997804,0.574263,4,1,1,0.9,2.814001,1,1,0.88,0.596524,-2.213117,-0.32248,1,0.932816,0.716766
51-20-7,0.862949,0.874908,-0.216326,1,308.434932,1,0.857542,0.799376,255.396138,0,0.16835,0.46692,-5.838483,1,0.412681,0.380879,-2.144673,1,0.883826,0.723852,-8.48626,0,0.237191,0.329707,1.516303,1,0.61527,0.630971,8.106346,0,0.447363,0.47983,1,1,0.515292,0.712106,7.054738,NaN,-10.816779,0,0.271045,0.437662,0.419401,1,0.484552,0.649845,0.550421,0,0.393352,0.664606,0,1,0.759007,-0.985331,1,0.354813,0.496815,0.646681,1,0.472946,0.507538,1,1,1,0,0.972212,1,0,0.932904,1,0,0.986756,0.989284,0,1,0.992232,1,0,1,0.961258,0.979713,0,1,0.963345,1,0,1,0.956925,0.954361,0,1,0.979017,0.724473,3,1,0.985585,0.717542,4,1,0.970271,0.437764,2.882516,1,0.778093,0.822043,0.518015,-0.228267,-0.72343,1,0.68912,0.793507
